order_id,region,product,price,quantity,revenue
1,US,Phone,1238,2,2476
2,EU,Monitor,823,2,1646
3,India,Monitor,379,2,758
4,India,Monitor,734,2,1468
5,India,Monitor,1460,4,5840
6,EU,Tablet,1196,3,3588
7,US,Laptop,314,3,942
8,EU,Tablet,1162,2,2324
9,US,Monitor,1292,3,3876
10,US,Tablet,1173,1,1173
11,India,Laptop,395,3,1185
12,EU,Phone,1343,1,1343
13,EU,Monitor,974,1,974
14,EU,Laptop,1131,2,2262
15,EU,Laptop,1052,1,1052
16,EU,Laptop,867,1,867
17,India,Tablet,384,3,1152
18,US,Phone,1060,1,1060
19,EU,Monitor,270,3,810
20,India,Laptop,1422,3,4266
21,India,Tablet,1045,2,2090
22,India,Monitor,1006,3,3018
23,US,Tablet,1208,1,1208
24,EU,Tablet,582,2,1164
25,EU,Monitor,904,3,2712
26,India,Phone,756,4,3024
27,India,Phone,1433,1,1433
28,EU,Phone,1038,1,1038
29,India,Phone,750,2,1500
30,India,Phone,1223,2,2446
31,India,Laptop,535,3,1605
32,US,Phone,1072,1,1072
33,US,Tablet,889,4,3556
34,India,Phone,408,1,408
35,EU,Phone,930,3,2790
36,US,Monitor,874,2,1748
37,EU,Phone,1395,3,4185
38,EU,Laptop,1438,1,1438
39,US,Laptop,441,1,441
40,India,Tablet,346,3,1038
41,US,Monitor,1119,4,4476
42,EU,Tablet,929,4,3716
43,EU,Phone,796,3,2388
44,India,Phone,1200,2,2400
45,US,Laptop,491,2,982
46,EU,Laptop,302,1,302
47,India,Tablet,804,4,3216
48,EU,Tablet,916,3,2748
49,EU,Phone,266,2,532
50,EU,Laptop,1167,3,3501
51,EU,Monitor,1230,1,1230
52,US,Tablet,1088,3,3264
53,India,Laptop,1398,3,4194
54,India,Tablet,687,2,1374
55,India,Tablet,814,3,2442
56,US,Phone,1088,2,2176
57,India,Tablet,886,4,3544
58,US,Laptop,638,3,1914
59,EU,Monitor,1157,4,4628
60,EU,Tablet,713,1,713
61,EU,Monitor,1370,4,5480
62,EU,Phone,407,1,407
63,India,Phone,959,1,959
64,EU,Monitor,661,1,661
65,India,Monitor,326,2,652
66,US,Laptop,526,2,1052
67,EU,Laptop,657,4,2628
68,India,Monitor,469,2,938
69,US,Phone,393,2,786
70,India,Laptop,379,3,1137
71,EU,Tablet,986,3,2958
72,US,Laptop,215,2,430
73,India,Tablet,1263,2,2526
74,US,Phone,968,4,3872
75,EU,Tablet,964,1,964
76,India,Phone,1082,2,2164
77,US,Laptop,205,2,410
78,US,Monitor,723,1,723
79,India,Monitor,667,4,2668
80,EU,Laptop,1281,2,2562
81,EU,Monitor,772,4,3088
82,India,Monitor,654,4,2616
83,US,Tablet,1013,4,4052
84,EU,Laptop,386,4,1544
85,India,Tablet,355,4,1420
86,EU,Laptop,1251,1,1251
87,US,Tablet,851,3,2553
88,US,Laptop,992,1,992
89,EU,Monitor,485,1,485
90,EU,Tablet,479,3,1437
91,India,Monitor,1235,1,1235
92,EU,Phone,1458,3,4374
93,EU,Phone,1475,1,1475
94,India,Phone,1227,3,3681
95,EU,Tablet,668,3,2004
96,US,Monitor,454,4,1816
97,US,Tablet,1160,4,4640
98,EU,Monitor,208,4,832
99,India,Laptop,655,2,1310
100,US,Tablet,462,4,1848
101,EU,Monitor,464,1,464
102,US,Monitor,1438,1,1438
103,EU,Laptop,241,2,482
104,US,Laptop,318,1,318
105,EU,Tablet,241,4,964
106,EU,Tablet,900,2,1800
107,EU,Monitor,1219,3,3657
108,India,Phone,272,1,272
109,India,Monitor,1424,4,5696
110,EU,Tablet,1454,4,5816
111,US,Tablet,368,1,368
112,EU,Laptop,487,2,974
113,India,Laptop,704,4,2816
114,India,Monitor,542,1,542
115,India,Monitor,1208,1,1208
116,India,Monitor,1270,1,1270
117,US,Laptop,1196,3,3588
118,US,Phone,755,1,755
119,US,Monitor,1351,1,1351
120,US,Laptop,287,4,1148
121,India,Phone,1333,4,5332
122,EU,Phone,988,1,988
123,India,Monitor,897,4,3588
124,India,Monitor,1361,1,1361
125,EU,Phone,1491,3,4473
126,India,Laptop,625,4,2500
127,US,Monitor,877,1,877
128,EU,Phone,697,3,2091
129,India,Phone,461,3,1383
130,India,Laptop,583,1,583
131,India,Tablet,1236,2,2472
132,India,Monitor,1247,2,2494
133,US,Monitor,1148,1,1148
134,India,Laptop,822,1,822
135,EU,Tablet,1268,4,5072
136,US,Tablet,913,3,2739
137,India,Laptop,359,1,359
138,US,Phone,1195,4,4780
139,India,Phone,1072,4,4288
140,India,Monitor,639,2,1278
141,EU,Monitor,1102,2,2204
142,US,Phone,814,2,1628
143,US,Phone,738,3,2214
144,India,Tablet,617,4,2468
145,EU,Phone,350,3,1050
146,EU,Tablet,983,3,2949
147,US,Monitor,745,1,745
148,US,Monitor,1208,1,1208
149,EU,Laptop,538,2,1076
150,US,Monitor,285,4,1140
151,EU,Phone,1196,3,3588
152,US,Phone,534,3,1602
153,EU,Laptop,1290,3,3870
154,US,Laptop,858,4,3432
155,India,Phone,1215,4,4860
156,India,Tablet,347,4,1388
