order_id,region,product,price,quantity
1,US,Phone,1238,2
2,EU,Monitor,823,2
3,India,Monitor,379,2
4,India,Monitor,734,2
5,India,Monitor,1460,4
6,EU,Tablet,1196,3
7,US,Laptop,314,3
8,EU,Tablet,1162,2
9,US,Monitor,1292,3
10,US,Tablet,1173,1
11,India,Laptop,395,3
12,EU,Phone,1343,1
13,EU,Monitor,974,1
14,EU,Laptop,1131,2
15,EU,Laptop,1052,1
16,EU,Laptop,867,1
17,India,Tablet,384,3
18,US,Phone,1060,1
19,EU,Monitor,270,3
20,India,Laptop,1422,3
21,India,Tablet,1045,2
22,India,Monitor,1006,3
23,US,Tablet,1208,1
24,EU,Tablet,582,2
25,EU,Monitor,904,3
26,India,Phone,756,4
27,India,Phone,1433,1
28,EU,Phone,1038,1
29,India,Phone,750,2
30,India,Phone,1223,2
31,India,Laptop,535,3
32,US,Phone,1072,1
33,US,Tablet,889,4
34,India,Phone,408,1
35,EU,Phone,930,3
36,US,Monitor,874,2
37,EU,Phone,1395,3
38,EU,Laptop,1438,1
39,US,Laptop,441,1
40,India,Tablet,346,3
41,US,Monitor,1119,4
42,EU,Tablet,929,4
43,EU,Phone,796,3
44,India,Phone,1200,2
45,US,Laptop,491,2
46,EU,Laptop,302,1
47,India,Tablet,804,4
48,EU,Tablet,916,3
49,EU,Phone,266,2
50,EU,Laptop,1167,3
51,EU,Monitor,1230,1
52,US,Tablet,1088,3
53,India,Laptop,1398,3
54,India,Tablet,687,2
55,India,Tablet,814,3
56,US,Phone,1088,2
57,India,Tablet,886,4
58,US,Laptop,638,3
59,EU,Monitor,1157,4
60,EU,Tablet,713,1
61,EU,Monitor,1370,4
62,EU,Phone,407,1
63,India,Phone,959,1
64,EU,Monitor,661,1
65,India,Monitor,326,2
66,US,Laptop,526,2
67,EU,Laptop,657,4
68,India,Monitor,469,2
69,US,Phone,393,2
70,India,Laptop,379,3
71,EU,Tablet,986,3
72,US,Laptop,215,2
73,India,Tablet,1263,2
74,US,Phone,968,4
75,EU,Tablet,964,1
76,India,Phone,1082,2
77,US,Laptop,205,2
78,US,Monitor,723,1
79,India,Monitor,667,4
80,EU,Laptop,1281,2
81,EU,Monitor,772,4
82,India,Monitor,654,4
83,US,Tablet,1013,4
84,EU,Laptop,386,4
85,India,Tablet,355,4
86,EU,Laptop,1251,1
87,US,Tablet,851,3
88,US,Laptop,992,1
89,EU,Monitor,485,1
90,EU,Tablet,479,3
91,India,Monitor,1235,1
92,EU,Phone,1458,3
93,EU,Phone,1475,1
94,India,Phone,1227,3
95,EU,Tablet,668,3
96,US,Monitor,454,4
97,US,Tablet,1160,4
98,EU,Monitor,208,4
99,India,Laptop,655,2
100,US,Tablet,462,4
101,EU,Monitor,464,1
102,US,Monitor,1438,1
103,EU,Laptop,241,2
104,US,Laptop,318,1
105,EU,Tablet,241,4
106,EU,Tablet,900,2
